"Sample.ID","Marker","Mean_LR","Mean_Distance","Site","Interpretation"
"E1","E",2.42902255916874e-06,6,"Zaire","Reinfection/Error"
"F1","E",5.9190079345972,0,"Zaire","Recrudescence"
"G1","E",4.2677750588905e-09,9,"Zaire","Reinfection/Error"
"H1","E",4.35823488501523,0,"Zaire","Recrudescence"
"I1","E",3.03507084695564,0,"Zaire","Recrudescence"
"J1","E",1.21370854917063e-21,24,"Zaire","Reinfection/Error"
"K1","E",2.0729454249999,0,"Zaire","Recrudescence"
"L1","E",1.30882029318956,0,"Zaire","Recrudescence"
"A","F",3.35198677107046,0,"Zaire","Recrudescence"
"B","F",6.07255638990607e-06,6,"Zaire","Reinfection/Error"
"C","F",0.351082774583656,1.37,"Zaire","Reinfection/Error"
"D","F",1,0.8,"Zaire","Reinfection/Error"
"E","F",1.67231848099532,0,"Zaire","Recrudescence"
"F","F",0.4239521066063,2.35,"Zaire","Reinfection/Error"
"G","F",0.595673801153866,0,"Zaire","Reinfection/Error"
"H","F",2.60518304737954,2.26,"Zaire","Recrudescence"
"I","F",5.23496241561552e-07,6,"Zaire","Reinfection/Error"
"J","F",0.541283421902296,1.4,"Zaire","Reinfection/Error"
"K","F",0.865294591343186,0,"Zaire","Reinfection/Error"
"L","F",0.641641656150903,5.1,"Zaire","Reinfection/Error"
